1	2
1	14
1	47
1	111
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	14
14	15
14	112
14	131
14	132
15	16
15	113
15	114
15	133
15	134
16	17
17	18
18	19
19	20
20	22
20	46
20	48
20	65
20	118
20	140
20	154
21	47
22	23
23	24
23	91
23	92
24	25
25	26
25	41
25	42
25	50
25	66
26	27
27	28
28	29
29	30
30	31
31	32
32	33
33	34
35	36
36	37
37	38
38	39
39	40
40	41
42	43
42	50
42	119
42	139
42	155
43	44
44	45
45	46
45	64
45	117
45	120
45	137
45	138
45	156
46	64
46	89
46	90
46	117
46	137
48	49
49	50
49	65
49	118
49	140
49	154
51	52
52	53
53	54
54	55
55	56
56	57
57	58
58	59
59	60
60	61
61	62
62	63
62	151
62	152
63	64
64	152
66	67
67	68
68	69
69	70
70	71
71	72
71	153
72	73
74	75
75	76
76	77
77	78
78	79
79	80
80	81
81	82
82	83
83	84
84	85
85	86
86	87
87	88
88	89
90	91
92	137
93	94
93	137
94	95
95	96
96	97
97	98
98	99
99	100
100	101
101	102
102	103
104	105
105	106
106	107
107	108
108	109
109	110
110	111
112	113
114	115
115	116
116	117
119	120
121	122
122	123
123	124
124	125
125	126
126	127
127	128
128	129
129	130
130	131
132	133
134	135
135	136
136	137
138	139
141	142
142	143
143	144
144	145
145	146
146	147
147	148
148	149
149	150
150	151
153	157
155	156
