1	2
1	242
1	293
2	3
3	4
4	5
4	154
4	155
5	6
6	7
6	93
6	94
7	8
7	94
7	122
8	9
8	28
8	29
9	10
10	11
10	29
10	53
11	12
11	30
11	40
12	13
12	30
12	41
14	15
14	188
14	217
15	16
16	17
16	147
16	188
16	294
17	18
18	19
19	20
20	21
20	57
20	151
20	152
20	243
21	22
22	23
23	24
24	25
25	26
25	92
25	93
26	27
27	28
27	183
27	184
30	31
30	164
30	246
30	247
31	32
32	33
33	34
33	114
33	115
34	35
35	36
35	216
35	218
36	37
37	38
38	39
40	41
41	42
41	166
42	43
43	44
43	117
43	118
44	45
44	167
44	214
45	46
46	47
47	48
48	49
49	50
50	51
51	52
53	54
54	55
54	119
54	120
55	56
56	167
56	181
57	58
58	59
59	60
60	61
61	62
62	63
62	211
62	293
63	64
64	65
64	240
64	241
65	66
66	67
67	68
68	69
69	70
69	238
69	239
70	71
71	72
72	73
73	74
74	75
76	77
76	281
76	282
77	78
78	79
79	80
80	81
81	82
82	83
83	84
84	85
85	86
85	159
85	160
86	87
86	147
86	161
87	88
88	89
89	90
90	91
91	92
91	184
91	185
91	243
91	244
94	95
94	123
95	96
96	97
97	98
97	158
97	208
98	99
99	100
100	101
101	102
103	104
103	253
104	105
105	106
106	107
107	108
108	109
109	110
110	111
111	112
112	113
112	218
112	219
113	114
115	116
115	216
115	247
116	117
118	119
119	166
119	167
120	121
121	122
122	182
122	183
122	208
123	124
124	125
125	126
125	155
125	156
126	127
127	128
128	129
128	158
128	213
128	227
129	130
130	131
131	132
132	133
133	134
134	135
135	136
136	137
138	139
138	191
138	192
139	140
140	141
140	280
140	281
141	142
142	143
143	144
144	145
145	146
145	159
146	147
147	148
147	187
147	188
148	149
149	150
150	151
152	153
152	242
153	154
156	157
157	158
160	161
161	162
161	219
162	163
163	164
165	170
165	178
165	179
167	168
168	169
169	170
171	172
171	261
172	173
172	260
173	174
174	175
175	176
176	177
177	178
179	180
180	181
181	182
181	208
184	307
185	186
186	187
188	189
189	190
190	191
190	280
192	193
193	194
194	195
195	196
195	273
196	197
197	198
198	199
200	201
201	202
202	203
203	204
204	205
205	206
206	207
207	208
207	279
209	210
209	294
210	211
212	213
212	270
212	293
214	215
215	216
216	249
216	260
217	248
220	221
221	222
222	223
223	224
223	269
224	225
225	226
225	288
226	227
226	270
228	229
229	230
230	231
231	232
232	233
233	234
234	235
235	236
236	237
237	238
239	240
240	259
241	293
244	245
244	307
245	246
248	271
248	289
249	250
250	251
251	252
252	253
254	255
255	256
256	257
257	258
258	259
259	266
261	262
262	263
264	265
265	266
267	268
267	286
268	269
271	272
272	273
274	275
275	276
276	277
277	278
278	279
282	283
283	284
285	286
287	288
289	290
290	295
291	292
291	296
293	306
295	296
297	298
298	299
299	300
300	301
301	302
302	303
303	304
304	305
305	306
