1	92
1	239
2	82
2	174
3	78
3	79
4	48
4	227
5	34
5	54
5	153
5	163
6	171
6	226
7	81
7	249
8	182
8	194
9	32
9	127
10	91
10	198
11	43
11	92
11	116
11	241
12	156
12	160
13	52
13	61
14	113
14	221
15	93
16	97
16	237
17	62
17	97
17	147
17	238
18	27
18	149
19	218
19	219
20	26
20	63
21	72
21	109
22	33
22	68
23	72
23	184
24	166
24	224
25	80
25	124
26	85
27	57
28	57
28	205
29	106
29	217
30	33
30	119
31	102
31	145
32	231
33	159
33	238
34	63
35	122
35	168
36	81
36	90
37	108
37	110
37	218
38	99
38	199
39	46
39	47
40	165
40	176
41	96
41	115
42	157
43	240
44	227
45	191
46	107
46	215
46	232
47	73
48	69
49	136
49	189
50	111
50	150
51	89
51	184
52	221
53	190
53	197
54	106
54	173
54	225
55	139
55	230
56	153
56	208
58	191
58	192
59	105
60	250
61	209
62	210
63	144
63	201
64	65
64	151
65	66
65	182
66	211
67	88
67	183
67	212
67	221
68	236
69	189
70	115
71	90
71	195
73	164
74	145
74	147
75	203
75	213
76	82
76	213
77	78
79	94
79	125
80	238
83	97
83	116
83	245
84	146
84	197
85	223
86	188
87	105
87	140
88	161
89	234
91	231
92	245
93	158
94	158
95	104
95	156
96	215
97	131
98	175
98	242
99	198
100	205
100	241
101	137
101	152
101	185
102	121
102	207
102	228
103	142
103	162
104	193
107	152
108	164
109	230
110	118
111	135
112	114
112	250
113	167
114	151
114	172
115	169
115	234
117	194
117	245
118	140
119	202
120	124
120	204
121	202
122	130
123	126
123	135
125	133
127	229
128	195
129	149
129	150
130	145
130	187
130	228
131	145
132	185
132	202
133	186
134	170
134	203
136	196
137	168
138	168
138	217
141	209
141	242
142	200
143	145
143	247
144	174
145	208
146	222
147	161
147	207
148	168
148	204
153	244
153	246
154	168
154	169
155	196
155	214
156	167
157	239
159	160
160	210
160	221
162	240
163	246
165	175
166	193
168	216
168	229
171	180
172	220
173	187
174	190
174	225
176	179
177	251
178	179
178	251
180	233
181	233
181	235
183	220
186	200
188	226
192	248
199	248
201	247
202	243
206	222
210	221
210	238
212	245
214	244
219	232
219	236
219	243
223	235
224	249
237	241
241	246
