1	20
1	52
2	77
2	86
3	69
3	87
4	30
4	89
5	10
5	11
6	101
6	112
7	8
7	9
7	24
7	108
8	61
9	73
10	12
10	71
10	117
11	94
12	92
13	107
13	118
14	84
15	79
15	98
16	21
16	71
17	44
17	54
17	56
17	111
18	57
18	97
19	96
19	102
20	36
21	64
22	35
22	42
23	93
23	100
24	62
25	27
25	50
26	31
26	60
26	83
26	90
28	46
28	50
29	45
29	90
30	85
31	50
31	88
31	107
32	43
32	103
33	56
33	68
34	84
34	93
35	100
36	115
37	95
37	115
38	56
38	99
39	82
39	87
40	55
40	89
41	62
41	110
42	55
43	51
44	49
45	111
46	54
47	76
47	89
48	59
48	99
49	109
49	113
50	90
52	65
53	60
53	105
56	79
57	74
58	80
58	83
59	83
61	74
63	102
63	110
64	95
65	72
66	67
66	78
67	82
69	80
70	87
70	101
72	91
73	103
74	108
75	86
75	89
76	118
77	106
81	104
81	112
83	90
85	97
87	116
88	114
92	98
94	113
96	116
104	117
105	106
