1	2
2	3
3	4
4	5
5	6
6	7
6	29
6	30
6	45
7	8
8	9
8	45
8	56
8	57
9	10
9	76
9	81
10	11
10	66
10	67
11	12
11	46
12	13
12	77
12	78
13	14
13	35
13	36
14	15
15	16
16	17
17	18
18	19
19	20
21	22
22	23
23	24
23	93
23	94
24	25
25	26
26	27
27	28
28	29
28	74
30	31
30	74
30	75
31	32
32	33
32	57
32	58
33	34
33	82
33	83
34	35
34	67
34	68
36	37
37	38
38	39
39	40
40	41
41	42
42	43
43	44
46	47
47	48
48	49
49	50
51	52
52	53
53	54
54	55
55	56
56	64
56	65
57	75
57	76
58	59
58	83
58	84
59	60
59	69
59	97
60	61
61	62
63	64
65	66
65	80
65	81
67	76
67	77
68	69
69	70
70	71
71	72
72	73
76	82
79	80
84	85
85	86
86	87
86	96
86	97
87	88
88	89
89	90
91	92
92	93
94	95
95	96
