1	448
449	1415
1416	1925
1926	2574
2575	3048
3049	4449
4450	4603
4604	4798
4799	4983
4984	5790
5791	6307
6308	7633
7634	9330
9331	9652
9653	10394
10395	10697
10698	10789
10790	11721
11722	12845
12846	13384
13385	13484
13485	13711
13712	14055
14056	14222
14223	14572
14573	15006
15007	15427
15428	16279
16280	16942
16943	17268
17269	18228
18229	18262
18263	18340
18341	19180
19181	21048
21049	21310
21311	21727
21728	22719
22720	23051
23052	23356
23357	23657
23658	23699
